TransMorph_IXI_HER_ncc_1.0_grad_1.0_her_1.0_a0_b0.02_g20
,Unknown,Left-Cerebral-White-Matter,Left-Cerebral-Cortex,Left-Lateral-Ventricle,Left-Inf-Lat-Vent,Left-Cerebellum-White-Matter,Left-Cerebellum-Cortex,Left-Thalamus-Proper*,Left-Caudate,Left-Putamen,Left-Pallidum,3rd-Ventricle,4th-Ventricle,Brain-Stem,Left-Hippocampus,Left-Amygdala,CSF,Left-Accumbens-area,Left-VentralDC,Left-vessel,Left-choroid-plexus,Right-Cerebral-White-Matter,Right-Cerebral-Cortex,Right-Lateral-Ventricle,Right-Inf-Lat-Vent,Right-Cerebellum-White-Matter,Right-Cerebellum-Cortex,Right-Thalamus-Proper*,Right-Caudate,Right-Putamen,Right-Pallidum,Right-Hippocampus,Right-Amygdala,Right-Accumbens-area,Right-VentralDC,Right-vessel,Right-choroid-plexus,5th-Ventricle,WM-hypointensities,non-WM-hypointensities,Optic-Chiasm,CC_Posterior,CC_Mid_Posterior,CC_Central,CC_Mid_Anterior,CC_Anterior,non_jec
p_0,0.9745691615466399,0.8190658784229572,0.6930746483563202,0.868104269131331,0.35149023276988456,0.7557508279454014,0.7860431684835473,0.8238080197748616,0.7891136649845529,0.7054271889248499,0.7377367636286141,0.8343690871808455,0.7080188662546725,0.8667689683091613,0.8096753652726423,0.7697807417307418,0.7192336008871274,0.6507352881366242,0.8259482445711199,0.2461538082840295,0.2657695520120307,0.8158279575113048,0.675076390846972,0.8367981891975689,0.4595103534886031,0.7071861231857594,0.8067803992154788,0.8826809468985365,0.7837629251678301,0.6556035455153404,0.7183528197296573,0.8121932310236862,0.8010764727493239,0.6055597249770118,0.8320576309481696,0.49315061737662774,0.29871244378787604,0.0,0.0016515276494506387,0.0,0.4756944361858605,0.0,0.0,0.0,0.0,0.0,3.095354352678571e-05
p_1,0.967998795931559,0.8173370024668319,0.6720216969643461,0.7678113071329786,0.28813559050719784,0.7941651618373645,0.8464357503035719,0.8378302936184265,0.7518041227425205,0.697794555237637,0.7319650462670899,0.7167048022118773,0.7379221873922143,0.8648998820870288,0.7667546167398817,0.7858799258287041,0.6018518493188053,0.515044243229697,0.7933756378320882,0.1694914966963565,0.09604519638354243,0.8187091824743106,0.6746731255309932,0.7914959011324949,0.44716156814706054,0.7816009341520076,0.8440599740939205,0.8822878046881287,0.7512443841796232,0.6651579251548185,0.739823007394645,0.8046580278787453,0.8084163880212262,0.5765517201617123,0.7800523312451498,0.0,0.27580772044280755,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0899135044642857e-05
p_2,0.9735429686580518,0.8272112926828027,0.6969667654981393,0.8916617831540926,0.34415584043121383,0.8065130876053715,0.8467349424805392,0.8547429718586947,0.8484635223452223,0.7561469474919035,0.745368169250907,0.747799461355532,0.716803758597406,0.9008392101187475,0.8130779383387517,0.8051549530372661,0.6081284465221855,0.5249537844274142,0.8330736259903841,0.52427179376002,0.4628474165465263,0.8137711207340587,0.6864730079921324,0.8792447508904022,0.5105990736350315,0.7981397469833262,0.8576803355760131,0.8345030801851042,0.8487182562899046,0.7308550900409055,0.732571693325783,0.8248733690862449,0.8319672106792528,0.6324786270728323,0.8281281073919553,0.4999999375000078,0.4967930000186997,0.0,0.0024999999687500005,0.0,0.6204238801459754,0.0,0.0,0.0,0.0,0.0,1.8310546875e-05
p_3,0.9744168104266214,0.8230765046872459,0.6864296494412266,0.8929894877881999,0.4653802444338224,0.7885151566742257,0.8442984526403771,0.8247263071852668,0.8416223534129681,0.7661977215368,0.770091782471252,0.8129907180121673,0.818625739765215,0.902403613324299,0.8272190709093634,0.8061556649714244,0.7055118082460164,0.632183903504426,0.8339709249866384,0.42105255771007755,0.3887873224327403,0.8259360884659389,0.6955528749892858,0.8766992603738546,0.5695364191263541,0.818179074503371,0.8498572893466119,0.8507146042593152,0.8435760049967685,0.730933253266951,0.7802547752951439,0.8400040937250445,0.8165517218853745,0.6457105393208217,0.8461316110934275,0.19607839292580528,0.5407594909328634,0.0,0.0035714285395408167,0.0,0.521008394604901,0.0,0.0,0.0,0.0,0.0,8.573986235119048e-06
p_4,0.9745860084572142,0.8359411096327978,0.6923686464984727,0.6716053838001578,0.28982725249685937,0.8313126144494982,0.8424167344464364,0.8462326530472979,0.7566515240017502,0.7191271596802866,0.7326607803012595,0.7354260056707353,0.7965697932430449,0.8914469092905946,0.781475263373679,0.8148914146460925,0.6869525095115144,0.6123381522289555,0.8220317399456576,0.48387088969824354,0.17977527865449092,0.8434725128023167,0.7008615309916083,0.7622634891711076,0.4823045227793867,0.8495024508029757,0.8633686343573561,0.8828955170813445,0.7744370351309133,0.6791594644963527,0.7449175282989691,0.8124266225842801,0.8102257005752518,0.6473906865487258,0.8408428980290878,0.1739130182734756,0.32079207603176163,0.0,0.001659751023570531,0.0,0.3378995356643942,0.0,0.0,0.0,0.0,0.0,6.394159226190476e-06
p_5,0.9649151032153801,0.803658426781968,0.6290203496433824,0.6176842098761219,0.37333332918518525,0.8257501407726399,0.8069876864046084,0.8338902658004257,0.6541994739924549,0.5855408964796402,0.6343649933097866,0.6845289512336691,0.7712539344855456,0.8699835940071328,0.8070522971403998,0.7671232856107352,0.6003956449040769,0.4165707662074711,0.8311324872486817,0.0,0.23396225973656115,0.795634213298514,0.6182564931152652,0.6957637990562222,0.022388059283804867,0.8189978243873058,0.8305322506116612,0.8589649523906739,0.7246294979186598,0.5744966436526884,0.607242338624667,0.7930850487748532,0.8234421344623092,0.5097656200218201,0.7953346285334308,0.0,0.22035927879809247,0.0,0.0,0.0,0.12574849922908685,0.0,0.0,0.0,0.0,0.0,2.121698288690476e-05
p_6,0.9687311498207164,0.8144531051247728,0.6890392078095484,0.8035164830749909,0.16407354789146325,0.8076083990529023,0.8375142462457253,0.7601065781146148,0.7052511407474302,0.5701805469130455,0.5457288317070925,0.7446969668761478,0.8012830781054001,0.8581739222199529,0.7934616032747646,0.7755491863048014,0.712612911633948,0.5491039387161009,0.7765472307082539,0.0,0.10328638376424433,0.8143014399203423,0.6791574860483393,0.8622550183042708,0.323014800497782,0.8101042934646926,0.8649709208880316,0.8556197684059288,0.7868749336546023,0.6473082589903132,0.7278060212596675,0.8180695246002563,0.7591413051211576,0.5266622743471872,0.8319636840948864,0.0,0.41444114532917337,0.0,0.00236966821836886,0.0,0.20108695105741983,0.0,0.0,0.0,0.0,0.0,1.4822823660714286e-05
p_7,0.9626398724401677,0.8099115247523171,0.6167677696584054,0.8697251673989306,0.42689433909397717,0.8228730820786425,0.8244812068916119,0.8519050243777443,0.8686075938372056,0.768315521903365,0.7600197903017818,0.7574803119784239,0.7909148783890578,0.89310841724284,0.8246375269079929,0.813898701961429,0.641121492331208,0.6313725428296809,0.8389057742791549,0.4941175889273425,0.49589905049905963,0.8089437249343551,0.6224825702062169,0.8529712238834619,0.5570776204833094,0.8291865274660346,0.8431105871887382,0.8727674670587193,0.8667756939655609,0.7753114374005533,0.7639054648748975,0.8175514841999881,0.822335023061661,0.6026541717201079,0.8241608110615136,0.19230765532545088,0.5412165972642604,0.0,0.0026490065874303762,0.0,0.5523809418594107,0.0,0.0,0.0,0.0,0.0,9.591238839285714e-06
p_8,0.9791949988919149,0.8365463948987591,0.7313562505423559,0.870859636477726,0.3547854756205819,0.8037539438516345,0.8462429530643825,0.8737516591388607,0.8546001493424416,0.7626938593980308,0.7036026181670234,0.7607410297172209,0.6312700089880736,0.8862120215536601,0.7495315420054846,0.7784156120022514,0.6578449880610775,0.5847750814465823,0.836123004246669,0.7208121461516677,0.338208406414914,0.8280620531642379,0.7261780938200584,0.8918878389219194,0.5320665041008195,0.8130063906695706,0.8502304639307661,0.8909754820083606,0.8454326912915473,0.7386243378427256,0.7136025485823524,0.8143315929201811,0.7639768637731289,0.6646795777594666,0.8541764092655726,0.43589738001315637,0.40780141602954245,0.0,0.0011574074007094479,0.0,0.6214689148499263,0.0,0.0,0.0,0.0,0.0,1.075381324404762e-05
p_9,0.9752816660902272,0.8415240545114347,0.6950923150589268,0.6122325995659008,0.38167938515071553,0.8188849182977911,0.8476972095621192,0.8366000660449907,0.7770644224296387,0.7645153245580901,0.7370401322386285,0.6380165254103772,0.7455871952327908,0.8931693206043722,0.8049698787603823,0.8157055194706613,0.66273584645151,0.6565517196099881,0.8546762582694234,0.3678160496763161,0.15892053734751818,0.8382791246076553,0.698674972274429,0.7178781918291963,0.42685370313773846,0.84651736160712,0.8709606533981077,0.8657793127078951,0.8141592912072432,0.7688679239030026,0.7495473732658472,0.8182306582931316,0.827906974818821,0.6641025598454964,0.8390550638689199,0.20289852131905486,0.2561669804917744,0.0,0.0,0.0,0.5151515064789309,0.0,0.0,0.0,0.0,0.0,6.830124627976191e-06
