subject,ncc,lncc,mi,nmi,ssim3d,mse,psnr
p_0,0.95565674,0.27044755,0.73054100,1.28719083,0.91239053,2.46695707e-03,26.0784
p_1,0.95177021,0.29365033,0.77046196,1.26576427,0.89618564,2.72021618e-03,25.6540
p_2,0.95989744,0.27509052,0.73955509,1.28722028,0.91778338,1.89624429e-03,27.2211
p_3,0.96465328,0.27454334,0.73886403,1.29428634,0.92720211,1.56145643e-03,28.0647
p_4,0.96106803,0.27517137,0.74795815,1.29758403,0.92038983,2.03322294e-03,26.9181
p_5,0.94522819,0.28113976,0.74836399,1.25933422,0.89366907,3.00926376e-03,25.2154
p_6,0.95212258,0.30347353,0.77965729,1.26814882,0.89948553,2.68582217e-03,25.7092
p_7,0.95465135,0.28754783,0.75235992,1.27518324,0.91117036,2.08905226e-03,26.8005
p_8,0.96491061,0.26148301,0.72766413,1.30290791,0.92650253,1.68913286e-03,27.7234
p_9,0.96218037,0.27224350,0.74838916,1.29722575,0.92202723,1.90305240e-03,27.2055
p_10,0.96269516,0.26901114,0.75136326,1.30201328,0.91970754,1.93645366e-03,27.1299
p_11,0.96058278,0.28152931,0.75055785,1.28670914,0.91816932,1.80988462e-03,27.4235
p_12,0.96147225,0.27821764,0.75335712,1.29209421,0.91925734,1.83771155e-03,27.3572
p_13,0.95886515,0.26037130,0.72621423,1.29035737,0.91730028,1.95750374e-03,27.0830
p_14,0.94863554,0.25700495,0.69703228,1.26559712,0.90264821,2.52217314e-03,25.9823
p_15,0.96735212,0.27578321,0.76060984,1.30992267,0.92900729,1.74573576e-03,27.5802
p_16,0.96098973,0.27685678,0.76781641,1.29138561,0.91482985,1.97105628e-03,27.0530
p_17,0.96677696,0.27469248,0.74768306,1.29776579,0.92635262,1.57863957e-03,28.0172
p_18,0.95138272,0.27498186,0.73565979,1.28504271,0.90209150,2.74752466e-03,25.6106
p_19,0.96015731,0.26767945,0.74143790,1.29546457,0.91855472,2.02188136e-03,26.9424
p_20,0.94603910,0.26783723,0.71420865,1.27157002,0.90270978,2.86923384e-03,25.4223
p_21,0.96423327,0.27521929,0.75468047,1.29461625,0.92309028,1.65165602e-03,27.8208
p_22,0.95092749,0.26346731,0.71691263,1.27365262,0.90849394,2.28164188e-03,26.4175
p_23,0.96615401,0.27278206,0.74435714,1.30159921,0.92787755,1.61482554e-03,27.9187
p_24,0.96391661,0.27410963,0.74778014,1.30272046,0.92429829,1.76797628e-03,27.5252
p_25,0.96016700,0.27580774,0.75439390,1.29707662,0.91772389,2.11088923e-03,26.7553
p_26,0.95995400,0.28006262,0.75661715,1.29175989,0.91415662,2.09901926e-03,26.7798
p_27,0.96022863,0.28829029,0.76083869,1.28728135,0.91935891,1.85743094e-03,27.3109
p_28,0.95928409,0.27361009,0.74270413,1.28893142,0.91737163,2.00380758e-03,26.9814
p_29,0.96458999,0.26437488,0.72244091,1.30714771,0.92746955,1.88138706e-03,27.2552
p_30,0.95934425,0.25945300,0.72347183,1.29675641,0.91943872,2.00110707e-03,26.9873
p_31,0.95536932,0.27353188,0.72856086,1.27944821,0.91566563,1.94999389e-03,27.0997
p_32,0.94922672,0.26423228,0.69371169,1.27010279,0.90907049,2.59229290e-03,25.8632
p_33,0.95569744,0.27705011,0.73007185,1.28142351,0.91397041,2.40807844e-03,26.1833
p_34,0.94293630,0.26306632,0.69134548,1.26937996,0.90197730,2.81088617e-03,25.5116
p_35,0.95151073,0.27130520,0.72869593,1.27873497,0.90705556,2.66705110e-03,25.7397
p_36,0.96543064,0.27007776,0.72720792,1.30159643,0.93031073,1.61228630e-03,27.9256
p_37,0.93905022,0.27367961,0.70805518,1.27086782,0.88602823,3.64108175e-03,24.3877
p_38,0.95788567,0.26249313,0.71860478,1.28779845,0.91604888,2.08849997e-03,26.8017
p_39,0.95687993,0.27459875,0.72726589,1.27854189,0.91413671,1.94323894e-03,27.1147
p_40,0.95429058,0.27416536,0.72647939,1.28154097,0.91304344,2.27107989e-03,26.4377
p_41,0.95178676,0.25330928,0.70548352,1.27963655,0.90337729,2.75074943e-03,25.6055
p_42,0.94689823,0.27820271,0.70495194,1.25413859,0.89738196,2.41466182e-03,26.1714
p_43,0.95096624,0.25252694,0.69535177,1.27852204,0.90679210,2.60960927e-03,25.8342
p_44,0.95325258,0.27385941,0.73971719,1.28159568,0.91033757,2.40692680e-03,26.1854
p_45,0.95581911,0.26574290,0.74334960,1.28948239,0.91212404,2.24183102e-03,26.4940
p_46,0.96579532,0.26314178,0.72165810,1.29466296,0.92788118,1.58297770e-03,28.0053
p_47,0.95095559,0.25728706,0.70410079,1.27393476,0.90516543,2.58495636e-03,25.8755
p_48,0.96363688,0.27072114,0.73053284,1.29797778,0.92865562,1.66952339e-03,27.7741
p_49,0.96032495,0.29052928,0.78041192,1.29480167,0.91375923,2.01857156e-03,26.9496
p_50,0.95118883,0.27885848,0.73602455,1.26980911,0.90652311,2.46110308e-03,26.0887
p_51,0.96189236,0.27245098,0.73964810,1.28312023,0.92102528,1.66294974e-03,27.7912
p_52,0.94432481,0.27713674,0.71222732,1.26849096,0.89702338,2.84020295e-03,25.4665
p_53,0.96039095,0.28708175,0.77544190,1.29709695,0.91525578,2.13907387e-03,26.6977
p_54,0.94179219,0.26340526,0.69884293,1.26612130,0.89806437,3.17350903e-03,24.9846
p_55,0.96050104,0.28282824,0.75876241,1.28960435,0.91710865,1.84454721e-03,27.3411
p_56,0.96024838,0.27836102,0.76239006,1.29330163,0.91562837,1.99520194e-03,27.0001
p_57,0.94982836,0.30663052,0.77840838,1.25390210,0.88692486,2.78018298e-03,25.5593
p_58,0.96334412,0.26945734,0.73163650,1.29383753,0.92120814,1.69994065e-03,27.6957
p_59,0.95369838,0.29207039,0.76330636,1.27025988,0.90820104,2.29556550e-03,26.3911
p_60,0.94673236,0.28795522,0.75029585,1.26289174,0.89894426,2.69162676e-03,25.6999
p_61,0.95098560,0.26160204,0.69178122,1.27243389,0.91408610,2.14058308e-03,26.6947
p_62,0.96798838,0.28147721,0.75014373,1.30508619,0.93146789,1.58665782e-03,27.9952
p_63,0.96400880,0.26607859,0.73362831,1.29577583,0.92559177,1.58387497e-03,28.0028
p_64,0.96035024,0.27554840,0.73519822,1.28992737,0.92084122,1.81901765e-03,27.4016
