model,n,dice_mean_mean,dice_mean_std,jaccard_mean_mean,jaccard_mean_std,HD95_mean_mean,HD95_mean_std,ASSD_mean_mean,ASSD_mean_std,NMI_mean,NMI_std,LNCC_mean,LNCC_std,SSIM_mean,SSIM_std,non_jec_mean,non_jec_std,SDlogJ_mean,SDlogJ_std,J_p01_mean,J_p01_std,J_p99_mean,J_p99_std,inference_s_mean,inference_s_std,peak_mem_gb_mean,peak_mem_gb_std
affine,1,0.4905447239198617,0.0,0.3915174935184954,0.0,6.319554184634813,0.0,1.760431696120286,0.0,0.3614739233337284,0.0,0.1071329340338707,0.0,0.7596037484954629,0.0,0.0,0.0,1.5071801256583932e-07,0.0,0.988025049766284,0.0,0.9880257486609956,0.0,17.80814552307129,0.0,5.0072021484375,0.0
cotr,116,0.5627416819004615,0.029082154316615098,0.4727137037318143,0.03069035618759066,5.569145415219194,0.7931170659229592,1.427844534195953,0.18275062293487454,0.46258453675566297,0.013524398674277863,0.25578398225100146,0.010385172170844966,0.8975789181728682,0.011471699298991073,0.012983052192514187,0.0034327467576138857,0.4874249018592619,0.03311965179882672,-0.050354953149443875,0.054656408335211404,2.5542289317984213,0.07782715089015409,0.11271096727122427,0.011125183117113248,5.306783468826957,0.007140114744798454
cyclemorph,116,0.5597526822475835,0.03133590300624859,0.4687423761905187,0.033041501824804184,5.7789136169031465,0.8316723846112306,1.4637916107457372,0.20380876165752043,0.4755185183887246,0.014142127934937495,0.27748914827471194,0.011150647497634395,0.9101287759758624,0.011680161631835944,0.017196889051986235,0.0038194253749880116,0.5175563128393391,0.031952990950626786,-0.12835349918232394,0.056746885677621275,2.7196669575123567,0.08896469575172367,0.05005127036053197,0.004280075300181774,5.0847830689471705,0.007139859570446029
midir,116,0.5642645824978507,0.024416935851954886,0.4737683236403793,0.02501084095712465,5.302805549999703,0.6138961750607289,1.410035084954461,0.1585341700997277,0.42773622440949033,0.015724447703309948,0.20623752189719158,0.008182230668328783,0.8581412926340533,0.014637118757007678,0.0,0.0,0.314760355109272,0.024194814285191105,0.3299056623093213,0.03334688341780134,2.333336682810467,0.0855397211629003,0.020324385684469426,0.0014478819417561232,5.084889677296514,0.007184375370003708
nnformer,116,0.5695662795499093,0.02966260803134845,0.4820177022226069,0.03135299346373182,5.827410209168117,0.8194899612080351,1.4322216863078108,0.18777600945966005,0.5039970953086818,0.014359428540502508,0.2988135944242063,0.012348925843632782,0.9241489946679342,0.011855637211233337,0.01594661609973468,0.003584085005575047,0.5166928163956926,0.03712791554723047,-0.09975731895650933,0.05222075965533257,2.63734204082777,0.06908259472432321,0.06767396097597864,0.014254223658483908,5.336219853940217,0.007184150312177288
pvt,116,0.5504345110491259,0.033046731650672775,0.4583217483120355,0.034346504825830244,5.928634476952768,0.8263601987173862,1.525257056084328,0.2068691612092083,0.4807836538487982,0.01635469614672944,0.2849198965922646,0.010419564938003474,0.9133608986665543,0.013549816770373174,0.01857459026834235,0.0031412767151467896,0.5430949008350704,0.03175600243696912,-0.14631829166820845,0.04625683663128424,2.8144881803939925,0.08735990026828473,0.18352352847223696,0.043857052790217003,5.392894259743069,0.007139859570446029
syn,115,0.597922092521739,0.11087537727040585,0.45402491724347827,0.10286975618264407,6.4457315588028985,1.8104265948453993,1.5233349630869564,0.774779195544093,1.2694667937391302,0.014093452193249017,0.16791993834782606,0.01899395508969868,0.8634259205217392,0.01657079681375368,5.873999999999999e-06,3.0903891630554293e-05,0.2996336384347826,0.072501145332023,0.3580520535652174,0.09191212930254458,2.125673139826087,0.27739719174215105,171.02912820869568,13.70775364651244,0.0,0.0
transmorph_her,115,0.5765154379182013,0.030139683285278118,0.48811464874059335,0.03212956489609888,5.323394894260582,0.6935531324598971,1.357048308669769,0.1770469918083456,0.4676693346384082,0.01975985072378913,0.27376853486765984,0.009758891480930208,0.9041750620947994,0.015054546469553136,1.460547279373706e-05,7.367346669185205e-06,0.32799657328935217,0.022128807213428275,0.27544802754783904,0.026753504817923317,2.1284007643348763,0.06692505372904986,0.32732417687125825,0.1514845739257824,5.5996205371359125,0.016788632084960974
transmorph_original,115,0.5740955510430461,0.03150904601038553,0.4863685933484505,0.03389032556696977,5.687237912378321,0.8021103449671116,1.4073207320295613,0.18712514958086662,0.5051258718818467,0.01700489045226516,0.30791696646939154,0.012311199613566881,0.928537938431815,0.012218308612830811,0.015020986995341571,0.003415593100587273,0.5007638066768519,0.03599439242470902,-0.08756660642358893,0.0537890663119222,2.5870859643985185,0.07963115769666324,0.35740820635919984,0.16923271783344276,5.60103588104248,0.016687973585367524
transmorphbayes,115,0.5730984726712846,0.0312890020121751,0.48532081053121806,0.03365709693634667,5.724640957853155,0.7604008165318543,1.4160487663849497,0.18318379214019312,0.49648521920034167,0.018599235837067903,0.30210577249526976,0.011584557752894669,0.9237023489364555,0.013895565222272675,0.015095509278354634,0.0032885117295352643,0.493368084636391,0.0333731644890257,-0.09486170499063189,0.056218022617991005,2.592360864416394,0.07495966355887473,9.173116636276244,4.411117804871365,8.13711583096048,0.016713342575647848
voxelmorph_1,116,0.5532728101430414,0.030022976864288054,0.46135126555515477,0.03129042276113668,5.715598627899275,0.8168043920689484,1.4696448441074998,0.19616188407082136,0.4686304784357035,0.013884110183632723,0.270481766436411,0.01093810680744315,0.9059696008501594,0.011446643688818132,0.01590060216299491,0.0033975346155916734,0.49989570315953563,0.032742428963683484,-0.10973012930264422,0.05360679445378995,2.662319550297513,0.08472058842232248,0.03590193831402318,0.022153342760643454,5.1618424291196074,0.0071854367323796325
