ref_model,baseline,metric,n,p_raw,q_bh_fdr,significant_q<0.05,direction,note
transmorph_her,cotr,dice_mean,115,8.751269481615222e-20,1.3836466612824068e-19,True,higher_better,
transmorph_her,cotr,jaccard_mean,115,7.499451256751244e-20,1.201966845260131e-19,True,higher_better,
transmorph_her,cotr,HD95_mean,115,2.792210122666333e-10,3.202829258352558e-10,True,lower_better,
transmorph_her,cotr,ASSD_mean,115,7.843183684686447e-13,9.558880115711607e-13,True,lower_better,
transmorph_her,cotr,NMI,115,4.5128098879687043e-11,5.2799875689233835e-11,True,higher_better,
transmorph_her,cotr,LNCC,115,1.3128610014438802e-20,2.3273445025596058e-20,True,higher_better,
transmorph_her,cotr,SSIM,115,2.048312944138398e-18,2.9956576808024075e-18,True,higher_better,
transmorph_her,cotr,non_jec,115,1.3128610014438802e-20,2.3273445025596058e-20,True,lower_better,
transmorph_her,cotr,SDlogJ,115,1.3128610014438802e-20,2.3273445025596058e-20,True,lower_better,
transmorph_her,cotr,J_p01,115,1.3128610014438802e-20,2.3273445025596058e-20,True,higher_better,
transmorph_her,cotr,J_p99,115,1.3128610014438802e-20,2.3273445025596058e-20,True,lower_better,
transmorph_her,cotr,inference_s,115,3.879356647312336e-15,5.099828401522958e-15,True,lower_better,
transmorph_her,cotr,peak_mem_gb,115,2.0513318435796474e-26,4.000097094980312e-25,True,lower_better,
transmorph_her,cyclemorph,dice_mean,115,1.3128610014438802e-20,2.3273445025596058e-20,True,higher_better,
transmorph_her,cyclemorph,jaccard_mean,115,1.3128610014438802e-20,2.3273445025596058e-20,True,higher_better,
transmorph_her,cyclemorph,HD95_mean,115,5.551713201512596e-16,7.4660970641031475e-16,True,lower_better,
transmorph_her,cyclemorph,ASSD_mean,115,3.966729017143409e-15,5.1567477222864325e-15,True,lower_better,
transmorph_her,cyclemorph,NMI,115,1.3784735842573922e-17,1.9431495103387338e-17,True,higher_better,
transmorph_her,cyclemorph,LNCC,115,2.2986065174807566e-14,2.923227853752701e-14,True,higher_better,
transmorph_her,cyclemorph,SSIM,115,3.380985684940307e-19,5.204938488658105e-19,True,higher_better,
transmorph_her,cyclemorph,non_jec,115,1.3128610014438802e-20,2.3273445025596058e-20,True,lower_better,
transmorph_her,cyclemorph,SDlogJ,115,1.3128610014438802e-20,2.3273445025596058e-20,True,lower_better,
transmorph_her,cyclemorph,J_p01,115,1.3128610014438802e-20,2.3273445025596058e-20,True,higher_better,
transmorph_her,cyclemorph,J_p99,115,1.3128610014438802e-20,2.3273445025596058e-20,True,lower_better,
