metric,direction,baseline,n,her_mean,her_std,baseline_mean,baseline_std,median_paired_diff_raw,median_paired_diff_aligned,effect_signed,p_raw,q_bh_fdr,significant_q<0.05
ASSD_mean,lower_better,cotr,115,1.357048308669769,0.1770469918083456,1.427844534195953,0.18275062293487454,-0.06826848984564515,0.06826848984564515,0.7697151424287856,7.843183684686447e-13,1.038068428855559e-12,True
ASSD_mean,lower_better,cyclemorph,115,1.357048308669769,0.1770469918083456,1.4637916107457372,0.20380876165752043,-0.11527398517864618,0.11527398517864618,0.8440779610194903,3.966729017143409e-15,5.950093525715113e-15,True
ASSD_mean,lower_better,midir,115,1.357048308669769,0.1770469918083456,1.410035084954461,0.1585341700997277,-0.06513843188146451,0.06513843188146451,0.6341829085457271,3.581494371352149e-09,4.355871532725587e-09,True
ASSD_mean,lower_better,nnformer,115,1.357048308669769,0.1770469918083456,1.4322216863078108,0.18777600945966005,-0.06641907226174482,0.06641907226174482,0.8020989505247377,8.312916342300119e-14,1.1335795012227435e-13,True
ASSD_mean,lower_better,pvt,115,1.357048308669769,0.1770469918083456,1.525257056084328,0.2068691612092083,-0.16232722338000705,0.16232722338000705,0.9589205397301349,4.463657665749526e-19,1.0043229747936433e-18,True
ASSD_mean,lower_better,syn,115,1.357048308669769,0.1770469918083456,1.5233349630869564,0.774779195544093,0.11180084842880689,-0.11180084842880689,0.04767616191904048,0.6572377670704546,0.6572377670704546,False
ASSD_mean,lower_better,transmorph_original,115,1.357048308669769,0.1770469918083456,1.4073207320295613,0.18712514958086662,-0.051746563551024805,0.051746563551024805,0.7028485757121439,6.089270133364248e-11,7.829061600039749e-11,True
ASSD_mean,lower_better,transmorphbayes,91,1.3559140696091236,0.1808869768824587,1.410988771106061,0.18392334214237963,-0.05799466039696344,0.05799466039696344,0.6622073578595318,4.1193411611655024e-08,4.878167164538095e-08,True
ASSD_mean,lower_better,voxelmorph_1,115,1.357048308669769,0.1770469918083456,1.4696448441074998,0.19616188407082136,-0.11133913038781196,0.11133913038781196,0.9124437781109446,2.0264382678260438e-17,3.964770524007477e-17,True
HD95_mean,lower_better,cotr,115,5.323394894260582,0.6935531324598971,5.569145415219194,0.7931170659229592,-0.20554171210083716,0.20554171210083716,0.6779610194902549,2.792210122666333e-10,3.490262653332916e-10,True
HD95_mean,lower_better,cyclemorph,115,5.323394894260582,0.6935531324598971,5.7789136169031465,0.8316723846112306,-0.44738037119310015,0.44738037119310015,0.8701649175412294,5.551713201512596e-16,8.922396216716672e-16,True
HD95_mean,lower_better,midir,115,5.323394894260582,0.6935531324598971,5.302805549999703,0.6138961750607289,0.008554208062476754,-0.008554208062476754,-0.05997001499250375,0.5767412734266608,0.5898490296409031,False
HD95_mean,lower_better,nnformer,115,5.323394894260582,0.6935531324598971,5.827410209168117,0.8194899612080351,-0.4747095024738206,0.4747095024738206,0.9715142428785607,1.5376593829105764e-19,3.6418248542618914e-19,True
HD95_mean,lower_better,pvt,115,5.323394894260582,0.6935531324598971,5.928634476952768,0.8263601987173862,-0.6005242305536269,0.6005242305536269,0.9538230884557721,6.844639686552715e-19,1.466708504261296e-18,True
HD95_mean,lower_better,syn,115,5.323394894260582,0.6935531324598971,6.4457315588028985,1.8104265948453993,-0.7057301613243405,0.7057301613243405,0.5670164917541229,1.3108846240987667e-07,1.4747452021111126e-07,True
HD95_mean,lower_better,transmorph_original,115,5.323394894260582,0.6935531324598971,5.687237912378321,0.8021103449671116,-0.3195831833314493,0.3195831833314493,0.904647676161919,3.7742405756187774e-17,7.076701079285207e-17,True
HD95_mean,lower_better,transmorphbayes,91,5.303206090077406,0.7227897608839161,5.688098055878318,0.7696592280280451,-0.3387745464536378,0.3387745464536378,0.9297658862876255,1.3386388390946438e-14,1.8824608674768428e-14,True
HD95_mean,lower_better,voxelmorph_1,115,5.323394894260582,0.6935531324598971,5.715598627899275,0.8168043920689484,-0.333095893191345,0.333095893191345,0.9010494752623688,5.0202829604347623e-17,9.036509328782572e-17,True
SDlogJ,lower_better,cotr,115,0.32799657328935217,0.022128807213428275,0.4874249018592619,0.03311965179882672,-0.15779226715257466,0.15779226715257466,1.0,1.3128610014438802e-20,3.692421566560913e-20,True
SDlogJ,lower_better,cyclemorph,115,0.32799657328935217,0.022128807213428275,0.5175563128393391,0.031952990950626786,-0.18850821973020293,0.18850821973020293,1.0,1.3128610014438802e-20,3.692421566560913e-20,True
SDlogJ,lower_better,midir,115,0.32799657328935217,0.022128807213428275,0.314760355109272,0.024194814285191105,0.013652326189205088,-0.013652326189205088,-0.9850074962518741,4.8353121797934197e-20,1.2799355770041406e-19,True
SDlogJ,lower_better,nnformer,115,0.32799657328935217,0.022128807213428275,0.5166928163956926,0.03712791554723047,-0.1880354646241605,0.1880354646241605,1.0,1.3128610014438802e-20,3.692421566560913e-20,True
SDlogJ,lower_better,pvt,115,0.32799657328935217,0.022128807213428275,0.5430949008350704,0.03175600243696912,-0.21186857542904858,0.21186857542904858,1.0,1.3128610014438802e-20,3.692421566560913e-20,True
SDlogJ,lower_better,syn,115,0.32799657328935217,0.022128807213428275,0.2996336384347826,0.072501145332023,0.04559852715333024,-0.04559852715333024,-0.44767616191904047,3.091800163803742e-05,3.312643032646867e-05,True
SDlogJ,lower_better,transmorph_original,115,0.32799657328935217,0.022128807213428275,0.5007638066768519,0.03599439242470902,-0.1706547103883692,0.1706547103883692,1.0,1.3128610014438802e-20,3.692421566560913e-20,True
SDlogJ,lower_better,transmorphbayes,91,0.32675391917057584,0.021592386079531248,0.4907839525576295,0.0313365778039603,-0.1626399033718276,0.1626399033718276,1.0,1.1920864122849158e-16,1.9868106871415262e-16,True
SDlogJ,lower_better,voxelmorph_1,115,0.32799657328935217,0.022128807213428275,0.49989570315953563,0.032742428963683484,-0.16901436087420052,0.16901436087420052,1.0,1.3128610014438802e-20,3.692421566560913e-20,True
dice_mean,higher_better,cotr,115,0.5765154379182013,0.030139683285278118,0.5627416819004615,0.029082154316615098,0.01414943045063699,0.01414943045063699,0.9781109445277362,8.751269481615222e-20,2.1878173704038057e-19,True
dice_mean,higher_better,cyclemorph,115,0.5765154379182013,0.030139683285278118,0.5597526822475835,0.03133590300624859,0.015410273767079818,0.015410273767079818,1.0,1.3128610014438802e-20,3.692421566560913e-20,True
dice_mean,higher_better,midir,115,0.5765154379182013,0.030139683285278118,0.5642645824978507,0.024416935851954886,0.011662062899531422,0.011662062899531422,0.9331334332833583,3.79310384079863e-18,7.758621492542652e-18,True
dice_mean,higher_better,nnformer,115,0.5765154379182013,0.030139683285278118,0.5695662795499093,0.02966260803134845,0.007367661735493525,0.007367661735493525,0.8383808095952024,6.047600623678413e-15,8.778775098888018e-15,True
dice_mean,higher_better,pvt,115,0.5765154379182013,0.030139683285278118,0.5504345110491259,0.033046731650672775,0.024251743354671174,0.024251743354671174,1.0,1.3128610014438802e-20,3.692421566560913e-20,True
dice_mean,higher_better,syn,115,0.5765154379182013,0.030139683285278118,0.597922092521739,0.11087537727040585,-0.059065148134312406,-0.059065148134312406,-0.2032983508245877,0.05847340765118724,0.061193101030312225,False
dice_mean,higher_better,transmorph_original,115,0.5765154379182013,0.030139683285278118,0.5740955510430461,0.03150904601038553,0.0023256697760137834,0.0023256697760137834,0.5334332833583209,6.878848978049726e-07,7.549956195420432e-07,True
dice_mean,higher_better,transmorphbayes,91,0.5775646993095548,0.03029840027637587,0.574337735774921,0.031547710278677435,0.0024909256730923923,0.0024909256730923923,0.6521739130434783,6.570322295265733e-08,7.581141109922001e-08,True
dice_mean,higher_better,voxelmorph_1,115,0.5765154379182013,0.030139683285278118,0.5532728101430414,0.030022976864288054,0.022234138384863544,0.022234138384863544,1.0,1.3128610014438802e-20,3.692421566560913e-20,True
non_jec,lower_better,cotr,115,1.460547279373706e-05,7.367346669185205e-06,0.012983052192514187,0.0034327467576138857,-0.012611025855654753,0.012611025855654753,1.0,1.3128610014438802e-20,3.692421566560913e-20,True
non_jec,lower_better,cyclemorph,115,1.460547279373706e-05,7.367346669185205e-06,0.017196889051986235,0.0038194253749880116,-0.016844540550595203,0.016844540550595203,1.0,1.3128610014438802e-20,3.692421566560913e-20,True
non_jec,lower_better,midir,115,1.460547279373706e-05,7.367346669185205e-06,0.0,0.0,1.3078962053571428e-05,-1.3078962053571428e-05,-1.0,1.3101764554534992e-20,3.692421566560913e-20,True
non_jec,lower_better,nnformer,115,1.460547279373706e-05,7.367346669185205e-06,0.01594661609973468,0.003584085005575047,-0.015795753115699376,0.015795753115699376,1.0,1.3128610014438802e-20,3.692421566560913e-20,True
